id,name,spirit_category,primary_spirit,method,glass,ice,garnish,flavor_profiles,vibes,difficulty,lore,pro_tip,is_classic,source,steps_json,ingredients_json,photo_url,photo_thumb,photo_source,photo_id,has_custom_photo,photo_credit,photo_credit_url
ll-00011,Dark 'n' Stormy,rum,Bacardi White,build,highball,on the rocks,"lime wedge, candied ginger","[""spicy"", ""warming"", ""sweet"", ""refreshing""]","[""Happy Hour"", ""Summer Patio"", ""Game Night""]",easy,"The Dark 'n' Stormy is one of the few trademarked cocktails in existence — Gosling's Brothers of Bermuda owns the name and stipulates that Gosling's Black Seal rum must be used. The drink became the national drink of Bermuda, where local sailors drank it after long ocean crossings, the dark rum floating dramatically on pale ginger beer like storm clouds over the sea.",Float the rum on top of the ginger beer rather than mixing it in — this creates the signature storm cloud effect and a more complex sip.,True,liquid_lore_premium,"[""Fill your glass with ice."", ""Add ingredients in order, finishing with any carbonated components."", ""Give a single gentle stir to incorporate."", ""Garnish with lime wedge, candied ginger.""]","[{""name"": ""Gosling's Black Seal rum"", ""amount"": ""2 oz""}, {""name"": ""ginger beer"", ""amount"": ""4 oz""}, {""name"": ""fresh lime juice"", ""amount"": ""\u00bd oz""}]",https://www.thecocktaildb.com/images/media/drink/oe8rg51593904269.jpg,https://www.thecocktaildb.com/images/media/drink/oe8rg51593904269/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00012,Cosmopolitan,vodka,Absolut,shake,martini,none (served up),flamed orange peel,"[""citrusy"", ""sweet"", ""fruity"", ""refreshing""]","[""Date Night"", ""Party Starter"", ""Happy Hour""]",easy,"The Cosmopolitan was popularized by Sex and the City in the late 1990s, but its true origin is debated. Bartender Cheryl Cook claims to have invented it in Miami in 1985, while Toby Cecchini takes credit for the version served at the Odeon in New York in 1988. Either way, it became the defining cocktail of the 1990s — and is due for a serious re-evaluation.","Use just enough cranberry juice to turn the drink pink. Too much and you lose the citrus brightness. The cranberry is for color and a hint of tartness, not to dominate.",True,liquid_lore_premium,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with flamed orange peel.""]","[{""name"": ""citrus vodka"", ""amount"": ""1\u00bd oz""}, {""name"": ""Cointreau"", ""amount"": ""\u00bd oz""}, {""name"": ""fresh lime juice"", ""amount"": ""\u00be oz""}, {""name"": ""cranberry juice"", ""amount"": ""\u00bc oz""}]",https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00013,Gimlet,gin,Tanqueray,shake,coupe,none (served up),lime wheel,"[""citrusy"", ""refreshing"", ""sour"", ""herby""]","[""Date Night"", ""Happy Hour"", ""Summer Patio""]",easy,"The Gimlet appears in Raymond Chandler's novel 'The Long Goodbye' (1953), where Philip Marlowe declares: 'A real gimlet is half gin and half Rose's lime juice and nothing else.' The original used Rose's preserved lime cordial, but the modern craft version uses fresh lime and syrup — cleaner, brighter, and more vibrant.","If you want to honor the original, try a split: half fresh lime, half Rose's lime cordial. You get the nostalgia and the brightness.",True,liquid_lore_premium,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with lime wheel.""]","[{""name"": ""gin"", ""amount"": ""2 oz""}, {""name"": ""fresh lime juice"", ""amount"": ""\u00be oz""}, {""name"": ""simple syrup"", ""amount"": ""\u00be oz""}]",https://www.thecocktaildb.com/images/media/drink/9ajnje1504699234.jpg,https://www.thecocktaildb.com/images/media/drink/9ajnje1504699234/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00014,Espresso Martini,vodka,Absolut,shake,martini,none (served up),three coffee beans,"[""sweet"", ""bitter"", ""boozy"", ""creamy""]","[""After Dinner"", ""Date Night"", ""Late Night"", ""Party Starter""]",easy,"The Espresso Martini was invented by Dick Bradsell at the Soho Brasserie in London in 1983. According to legend, a model (widely rumored to be Kate Moss) asked for something to 'wake me up and then f*** me up.' Bradsell grabbed the espresso machine that happened to be next to his bar station and created an impromptu coffee cocktail that conquered the world.",Shake extremely hard with plenty of ice for at least 15 seconds. The three-foam-bubble crown only appears when the shake is vigorous enough to properly aerate.,True,liquid_lore_premium,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with three coffee beans.""]","[{""name"": ""vodka"", ""amount"": ""1\u00bd oz""}, {""name"": ""Kahlua"", ""amount"": ""\u00be oz""}, {""name"": ""fresh espresso"", ""amount"": ""1 oz (cooled)""}, {""name"": ""simple syrup"", ""amount"": ""\u00bc oz (optional)""}]",https://www.thecocktaildb.com/images/media/drink/n0sx631504372951.jpg,https://www.thecocktaildb.com/images/media/drink/n0sx631504372951/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00015,Jungle Bird,rum,Bacardi White,shake,tiki mug,crushed,"pineapple wedge, Luxardo cherry, mint sprig","[""tropical"", ""bitter"", ""sweet"", ""fruity""]","[""Party Starter"", ""Summer Patio"", ""Beach Day"", ""Happy Hour""]",easy,"The Jungle Bird was created in 1978 at the Aviary Bar in the Kuala Lumpur Hilton — a rare tiki cocktail from Southeast Asia rather than the American tiki bar tradition. It was the hotel's welcome cocktail. After disappearing for decades, it was rediscovered by Jeff 'Beachbum' Berry in 2004 and has since become a modern classic.","Use Campari without hesitation — it sounds wrong in a fruity tropical drink, but the bitter counterpoint is exactly what keeps the pineapple from becoming cloying.",True,liquid_lore_premium,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with pineapple wedge, Luxardo cherry, mint sprig.""]","[{""name"": ""dark rum"", ""amount"": ""1\u00bd oz""}, {""name"": ""Campari"", ""amount"": ""\u00be oz""}, {""name"": ""pineapple juice"", ""amount"": ""1\u00bd oz""}, {""name"": ""fresh lime juice"", ""amount"": ""\u00bd oz""}, {""name"": ""simple syrup"", ""amount"": ""\u00bd oz""}]",https://www.thecocktaildb.com/images/media/drink/vr5n951554082409.jpg,https://www.thecocktaildb.com/images/media/drink/vr5n951554082409/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00016,Tommy's Margarita,tequila,Patron Silver,shake,rocks,on the rocks,"lime wheel, optional salt rim","[""citrusy"", ""sour"", ""refreshing"", ""sweet""]","[""Happy Hour"", ""Summer Patio"", ""Date Night""]",easy,"Invented by Julio Bermejo at Tommy's Mexican Restaurant in San Francisco in the 1990s, this stripped-down Margarita replaces the orange liqueur with agave syrup, letting the tequila take center stage. The IBA added it to their 'New Era Drinks' list in 2011, cementing its status as a modern classic.","Use a quality 100% agave tequila — there's nowhere to hide in this recipe. The cleaner the tequila, the better the drink.",True,liquid_lore_premium,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with lime wheel, optional salt rim.""]","[{""name"": ""blanco tequila"", ""amount"": ""2 oz""}, {""name"": ""fresh lime juice"", ""amount"": ""1 oz""}, {""name"": ""agave syrup"", ""amount"": ""\u00bd oz""}]",https://www.thecocktaildb.com/images/media/drink/loefgt1504373502.jpg,https://www.thecocktaildb.com/images/media/drink/loefgt1504373502/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00017,Paper Plane,whiskey_bourbon,Buffalo Trace,shake,coupe,none (served up),no garnish,"[""bitter"", ""citrusy"", ""sweet"", ""herby""]","[""Date Night"", ""After Dinner"", ""Happy Hour""]",easy,"Created by Sam Ross at Milk & Honey in New York in 2007, the Paper Plane is a modern equal-parts cocktail that became an instant classic. Named after the M.I.A. song that was playing when Ross was developing the recipe, it demonstrated that a genuinely new template — not just a riff on an old one — could still be invented.",The equal-parts format is non-negotiable. Every element is load-bearing. Substituting any ingredient collapses the balance.,True,liquid_lore_premium,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with no garnish.""]","[{""name"": ""bourbon"", ""amount"": ""\u00be oz""}, {""name"": ""Aperol"", ""amount"": ""\u00be oz""}, {""name"": ""Amaro Nonino"", ""amount"": ""\u00be oz""}, {""name"": ""fresh lemon juice"", ""amount"": ""\u00be oz""}]",https://www.thecocktaildb.com/images/media/drink/2p0bo91604329220.jpg,https://www.thecocktaildb.com/images/media/drink/2p0bo91604329220/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00018,Last Word,gin,Tanqueray,shake,coupe,none (served up),Luxardo cherry,"[""herby"", ""citrusy"", ""sweet"", ""complex""]","[""Date Night"", ""After Dinner"", ""Cozy Night In""]",easy,"The Last Word originated at the Detroit Athletic Club around 1916 and was documented in Ted Saucier's 1951 book 'Bottoms Up.' It then vanished for decades until Murray Stenson of Zig Zag Café in Seattle revived it in 2004, sparking the cocktail revival's love affair with equal-parts drinks and forgotten pre-Prohibition recipes.",Chartreuse Green is irreplaceable — there's nothing else with that particular herbal complexity. Don't substitute Yellow Chartreuse; it's a different drink.,True,liquid_lore_premium,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with Luxardo cherry.""]","[{""name"": ""gin"", ""amount"": ""\u00be oz""}, {""name"": ""Chartreuse Green"", ""amount"": ""\u00be oz""}, {""name"": ""Maraschino liqueur"", ""amount"": ""\u00be oz""}, {""name"": ""fresh lime juice"", ""amount"": ""\u00be oz""}]",https://www.thecocktaildb.com/images/media/drink/rms5601504372070.jpg,https://www.thecocktaildb.com/images/media/drink/rms5601504372070/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00019,Sazerac,whiskey_rye,Rittenhouse,stir,rocks,none (served neat),"expressed lemon peel (discarded), no garnish in glass","[""boozy"", ""warming"", ""bitter"", ""complex""]","[""Date Night"", ""After Dinner"", ""Cozy Night In""]",medium,"The Sazerac is one of the oldest known American cocktails, originating in New Orleans in the 1830s at the Sazerac Coffee House. Originally made with Cognac, a phylloxera epidemic that devastated French vineyards forced a switch to rye whiskey. In 2008, the Louisiana State Legislature officially recognized it as New Orleans' official cocktail.","Chill the serving glass with ice water, discard the water, rinse with absinthe, then discard the absinthe — just the residue remains. This aromatic ghost is central to the drink.",True,liquid_lore_premium,"[""Combine all ingredients in a mixing glass."", ""Fill with large ice cubes and stir steadily for 30 seconds."", ""Strain into your chilled glass."", ""Garnish with expressed lemon peel (discarded), no garnish in glass.""]","[{""name"": ""rye whiskey"", ""amount"": ""2 oz""}, {""name"": ""simple syrup"", ""amount"": ""\u00bc oz""}, {""name"": ""Peychaud's bitters"", ""amount"": ""3 dashes""}, {""name"": ""Angostura bitters"", ""amount"": ""1 dash""}, {""name"": ""absinthe (for rinse)"", ""amount"": ""\u00bc oz""}]",https://www.thecocktaildb.com/images/media/drink/vvxywv1472719417.jpg,https://www.thecocktaildb.com/images/media/drink/vvxywv1472719417/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00020,Bee's Knees,gin,Tanqueray,shake,coupe,none (served up),lemon twist,"[""floral"", ""citrusy"", ""sweet"", ""refreshing""]","[""Date Night"", ""Summer Patio"", ""Brunch""]",easy,"The Bee's Knees emerged during Prohibition as a way to mask the rough flavor of bathtub gin — honey and lemon were cheap, accessible, and effective. 'Bee's knees' was slang for 'the best' in 1920s America. The drink was served at speakeasies across the country and has since become a cornerstone of the gin sour family.",Make honey syrup fresh: combine equal parts honey and warm water and stir until dissolved. Pre-made keeps in the fridge for two weeks.,True,liquid_lore_premium,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with lemon twist.""]","[{""name"": ""gin"", ""amount"": ""2 oz""}, {""name"": ""fresh lemon juice"", ""amount"": ""\u00be oz""}, {""name"": ""honey syrup (1:1)"", ""amount"": ""\u00be oz""}]",https://www.thecocktaildb.com/images/media/drink/0ue7301619519546.jpg,https://www.thecocktaildb.com/images/media/drink/0ue7301619519546/preview.jpg,thecocktaildb,,False,TheCocktailDB,https://www.thecocktaildb.com
ll-00021,Wild London Collins,vodka,Tito's,shake,highball,on the rocks,tajin rim,"[""citrusy"", ""refreshing"", ""earthy"", ""fruity""]","[""Healthy-ish"", ""Late Night"", ""Party Starter"", ""Happy Hour""]",medium,"A tiki bar staple from the golden age of Polynesian-themed restaurants, this cocktail was engineered to transport you to a tropical island without leaving your barstool.","For a richer texture, substitute a small amount of the simple syrup with honey syrup (1:1 honey to warm water).",False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with tajin rim.""]","[{""name"": ""Tito's"", ""amount"": ""2 oz"", ""notes"": null}, {""name"": ""watermelon juice"", ""amount"": ""\u00be oz"", ""notes"": null}, {""name"": ""fresh lime juice"", ""amount"": ""\u00be oz"", ""notes"": null}, {""name"": ""dry white wine"", ""amount"": ""2 dashes"", ""notes"": null}]",https://images.unsplash.com/photo-1560963805-6c64f2785b9c?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1560963805-6c64f2785b9c?w=400&q=70&fit=crop&auto=format,unsplash,1560963805-6c64f2785b9c,False,Unsplash,https://unsplash.com/photos/1560963805-6c64f2785b9c
ll-00022,The Tropical Twist,whiskey_bourbon,Eagle Rare,shake,rocks,on the rocks,lemon wedge,"[""sour"", ""citrusy"", ""warming""]","[""Game Night"", ""Party Starter"", ""Brunch""]",easy,"Originally a digestif meant to be sipped slowly after a long Italian dinner, this formula was adapted for the American palate by shortening it and adding ice.","For a richer texture, substitute a small amount of the simple syrup with honey syrup (1:1 honey to warm water).",False,liquid_lore_original,"[""Combine all ingredients in a cocktail shaker."", ""Fill with ice and shake vigorously for 12\u201315 seconds until well-chilled."", ""Strain into your prepared glass."", ""Garnish with lemon wedge.""]","[{""name"": ""Eagle Rare"", ""amount"": ""1\u00bd oz"", ""notes"": null}, {""name"": ""fresh lemon juice"", ""amount"": ""\u00bd oz"", ""notes"": null}, {""name"": ""simple syrup"", ""amount"": ""\u00bd oz"", ""notes"": null}]",https://images.unsplash.com/photo-1607622750671-6cd9a99eabd1?w=800&q=80&fit=crop&auto=format,https://images.unsplash.com/photo-1607622750671-6cd9a99eabd1?w=400&q=70&fit=crop&auto=format,unsplash,1607622750671-6cd9a99eabd1,False,Unsplash,https://unsplash.com/photos/1607622750671-6cd9a99eabd1
